Datetime,Tweet,Quoted_tweet_count,Reply_count,Retweet_count,Like_count
20:48.0,"I also mourn the passing away of Hon. Jude Ise-Idehen, the member of the House of Representatives representing the Egor/Ikpoba-Okha federal constituency. 
May their families and friends be comforted, and the souls of the deceased find eternal rest. -AA",8,50,80,524
20:48.0,"It is not the wish of any parents to bury their offspring, but we acknowledge that the Almighty Allah knows best. So, it is with sadness that I received the loss of Isa Abdullahi, the eldest son of Prof. Ango Abdullahi, the Chairman of the Northern Elders Forum.",21,282,308,1734
03:03.0,"Getting this country back on track will require all hands on deck. And I am excited to go on this journey with my Vice Presidential candidate, H.E Dr Ifeanyi Arthur Okowa, . Let’s come together as ONE towards a brighter future for all and for Nigeria. -AA https://t.co/TML8km1G56",146,1002,795,2312
15:35.0,"As you enter into a new chapter of your life, it is my prayer that God will endow you with greater wisdom and good health for the tasks ahead. Happy birthday, Your Excellency. -AA",4,56,81,463
15:35.0,"On behalf of my family, I wish to felicitate with my dear brother and friend, , on the occasion of his birthday anniversary. Your genteel character and patriotism spotlight you as a worthy role model for the upcoming generation. https://t.co/uASSEGVm8z",13,212,234,1718
07:26.0,"I am confident that the duo possess the capacity and candour to deliver on the agenda of the , the Senate and Nigeria, for the wellbeing of our people. -AA",5,45,93,461
07:25.0,"I congratulate Sen. Philip Tanimu Aduda and Sen. Chukwuka Godfrey Utazi as Minority Leader and Minority Whip of the Senate, respectively.",15,161,212,1448
42:58.0,An investment in education pays the best dividend. Let us fund ASUU for the sake of our youth! -AA,147,653,540,2226
42:58.0,"The mind is a very terrible thing to waste. It may be a bit cliche, but I nevertheless believe this. And strongly too. Education is a priority to me. That is why I invested in it and even furthered my education.",237,1629,883,4466
53:00.0,"My thoughts and prayers are with the families of the deceased, even as I condole with the Nigerian military and the Nigerian Police. -AA",6,61,85,401
52:59.0,"The attacks in Niger and Taraba states that led to the loss of scores of lives of soldiers, police personnel and civilians are worrisome. This is yet another attack that further exposes how vulnerable we are.
https://t.co/tRirZy8ujB",23,244,306,865
35:42.0,"When they speak, I listen. I do not only listen. Appropriate actions have been taken, are being taken, and will continue to be advanced. -AA",29,239,327,1156
35:42.0,"Every Governor, Legislator, and other elected officials produced by our party, and party members and loyalists, are much loved and respected by me.",13,82,280,977
35:41.0,"The  will remain united. Focus on our actions. We are taking action to address the feelings of all party members. The unity in our community is my priority. Our resolve to unify Nigeria starts in our party and moves to the community, then on to society.",303,1516,824,3494
05:33.0,and the promotion of separation of powers as the bedrock of deepening democracy and development. -AA,3,73,146,749
05:32.0,"I wish the newly sworn-in Acting CJN, Justice Olukayode Ariowoola, success as he steps in to fill the gap and assure him of my commitment to advancing the frontiers of judicial independence",9,49,146,720
05:31.0,"The decision of Justice Tanko Muhammad to vacate office as the Chief Justice of Nigeria is commendable. I wish him well, even as I commend him for his action and service to the nation.",52,524,521,3126
21:13.0,"Indeed, Mary's story is a testimonial of my covenant with every Nigerian who desires a life-changing education. -AA https://t.co/dp7xkPi3pJ",7,45,159,452
21:10.0,"The assertion of Mary Katambi, one of the Chibok girls who graduated from , that “Education gives (her) the wings to fly, the power to fight, and the voice to speak"" gives an insight into “What the students from Chibok can teach us"", By Margee Ensign.",30,294,503,2077
04:51.0,"Under no circumstance must one arm lord over another arm of government. -AA 

https://t.co/SplDIy9fCj",5,65,112,507
04:51.0,"The ruling of the Supreme Court on Section 84 (12) is commendable. It affirms my position of the independence of the judiciary and the other arms of government, namely the legislature and the executive, which is the bedrock for the development of any nation.",52,455,533,2672
41:43.0,"To achieve a sustained increase in manufacturing output, we would ensure our private sector is additionally empowered by involving them in every decision-making process as it pertains to the industry.  -AA https://t.co/u8OUMmmrer",62,674,593,2255
58:30.0,"To jump-start the manufacturing sector and create much needed jobs, and a profitable Nigeria that works for all, we shall review import duty payable on raw materials that are available locally and on imported machinery for local production. - AA https://t.co/XCRLsjse8Q",100,903,746,2790
02:22.0,Ease of doing business is critical to the growth of our manufacturing sector. One of the many ways we will achieve this is: -AA https://t.co/UJ0AinWwkL,122,874,752,2826
45:16.0,Promoting local competitiveness is key to our overall economic development agenda. And one of the ways we will do this will be to: -AA https://t.co/jOv6VUh1xk,161,1087,843,3458
